"date","district","group","n"
"2022-04-09","青浦区","asym",7
"2022-04-09","奉贤区","asym",12
"2022-04-09","崇明区","asym",1
"2022-04-10","浦东新区","isolation",82
"2022-04-10","黄浦区","isolation",12
"2022-04-10","徐汇区","isolation",18
"2022-04-10","杨浦区","isolation",54
"2022-04-10","闵行区","isolation",46
"2022-04-10","宝山区","isolation",3
"2022-04-10","嘉定区","isolation",45
"2022-04-10","金山区","isolation",14
"2022-04-10","松江区","isolation",282
"2022-04-10","奉贤区","isolation",8
"2022-04-10","浦东新区","screen",127
"2022-04-10","黄浦区","screen",20
"2022-04-10","徐汇区","screen",26
"2022-04-10","长宁区","screen",4
"2022-04-10","静安区","screen",27
"2022-04-10","普陀区","screen",6
"2022-04-10","虹口区","screen",6
"2022-04-10","杨浦区","screen",7
"2022-04-10","闵行区","screen",46
"2022-04-10","宝山区","screen",16
"2022-04-10","嘉定区","screen",4
"2022-04-10","金山区","screen",1
"2022-04-10","松江区","screen",9
"2022-04-10","青浦区","screen",1
"2022-04-10","奉贤区","screen",3
"2022-04-10","浦东新区","asym",3
"2022-04-10","黄浦区","asym",4
"2022-04-10","徐汇区","asym",2
"2022-04-10","长宁区","asym",1
"2022-04-10","静安区","asym",2
"2022-04-10","普陀区","asym",1
"2022-04-10","闵行区","asym",10
"2022-04-10","宝山区","asym",2
"2022-04-10","嘉定区","asym",22
"2022-04-11","浦东新区","isolation",286
"2022-04-11","黄浦区","isolation",87
"2022-04-11","徐汇区","isolation",3
"2022-04-11","长宁区","isolation",9
"2022-04-11","虹口区","isolation",4
"2022-04-11","闵行区","isolation",12
"2022-04-11","嘉定区","isolation",22
"2022-04-11","松江区","isolation",13
"2022-04-11","崇明区","isolation",3
"2022-04-11","浦东新区","screen",144
"2022-04-11","黄浦区","screen",10
"2022-04-11","徐汇区","screen",14
"2022-04-11","长宁区","screen",5
"2022-04-11","静安区","screen",9
"2022-04-11","普陀区","screen",16
"2022-04-11","虹口区","screen",14
"2022-04-11","杨浦区","screen",12
"2022-04-11","闵行区","screen",37
"2022-04-11","宝山区","screen",3
"2022-04-11","嘉定区","screen",12
"2022-04-11","松江区","screen",3
"2022-04-11","青浦区","screen",3
"2022-04-11","浦东新区","asym",63
"2022-04-11","黄浦区","asym",20
"2022-04-11","徐汇区","asym",31
"2022-04-11","长宁区","asym",11
"2022-04-11","静安区","asym",11
"2022-04-11","普陀区","asym",21
"2022-04-11","虹口区","asym",7
"2022-04-11","杨浦区","asym",18
"2022-04-11","闵行区","asym",19
"2022-04-11","宝山区","asym",44
"2022-04-11","嘉定区","asym",9
"2022-04-11","金山区","asym",3
"2022-04-11","松江区","asym",5
"2022-04-11","青浦区","asym",4
"2022-04-11","奉贤区","asym",4
"2022-04-11","崇明区","asym",3
"2022-04-12","浦东新区","isolation",86
"2022-04-12","黄浦区","isolation",59
"2022-04-12","徐汇区","isolation",41
"2022-04-12","长宁区","isolation",68
"2022-04-12","静安区","isolation",27
"2022-04-12","普陀区","isolation",30
"2022-04-12","虹口区","isolation",71
"2022-04-12","杨浦区","isolation",52
"2022-04-12","闵行区","isolation",257
"2022-04-12","宝山区","isolation",2
"2022-04-12","嘉定区","isolation",30
"2022-04-12","金山区","isolation",2
"2022-04-12","松江区","isolation",73
"2022-04-12","青浦区","isolation",53
"2022-04-12","崇明区","isolation",16
"2022-04-12","浦东新区","screen",104
"2022-04-12","黄浦区","screen",14
"2022-04-12","徐汇区","screen",14
"2022-04-12","长宁区","screen",22
"2022-04-12","静安区","screen",46
"2022-04-12","普陀区","screen",19
"2022-04-12","虹口区","screen",12
"2022-04-12","杨浦区","screen",8
"2022-04-12","闵行区","screen",20
"2022-04-12","宝山区","screen",14
"2022-04-12","嘉定区","screen",1
"2022-04-12","金山区","screen",1
"2022-04-12","松江区","screen",3
"2022-04-12","青浦区","screen",7
"2022-04-12","奉贤区","screen",1
"2022-04-12","崇明区","screen",13
"2022-04-12","浦东新区","asym",2
"2022-04-12","黄浦区","asym",1
"2022-04-12","徐汇区","asym",1
"2022-04-12","静安区","asym",2
"2022-04-12","普陀区","asym",1
"2022-04-12","闵行区","asym",3
"2022-04-12","嘉定区","asym",11
"2022-04-12","松江区","asym",1
"2022-04-12","青浦区","asym",1
"2022-04-13","浦东新区","isolation",1024
"2022-04-13","黄浦区","isolation",203
"2022-04-13","徐汇区","isolation",124
"2022-04-13","长宁区","isolation",94
"2022-04-13","静安区","isolation",36
"2022-04-13","普陀区","isolation",32
"2022-04-13","虹口区","isolation",104
"2022-04-13","杨浦区","isolation",51
"2022-04-13","闵行区","isolation",295
"2022-04-13","宝山区","isolation",1
"2022-04-13","嘉定区","isolation",42
"2022-04-13","金山区","isolation",12
"2022-04-13","松江区","isolation",122
"2022-04-13","青浦区","isolation",53
"2022-04-13","奉贤区","isolation",1
"2022-04-13","崇明区","isolation",6
"2022-04-13","浦东新区","screen",114
"2022-04-13","黄浦区","screen",13
"2022-04-13","徐汇区","screen",18
"2022-04-13","长宁区","screen",11
"2022-04-13","静安区","screen",13
"2022-04-13","普陀区","screen",11
"2022-04-13","虹口区","screen",16
"2022-04-13","杨浦区","screen",3
"2022-04-13","闵行区","screen",34
"2022-04-13","宝山区","screen",11
"2022-04-13","嘉定区","screen",4
"2022-04-13","松江区","screen",4
